"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000109685"	"NSD2"	-1.99896225615388	6.95780487015064	-11.4660950920695	5.09835428960386e-28	7.72859526761049e-24	52.6841852264812
"ENSG00000235034"	"C19orf81"	-3.65611278194952	-4.77849936473773	-9.22774450807529	3.1929400771938e-19	2.42008893150904e-15	32.1534517839505
"ENSG00000078328"	"RBFOX1"	-2.27128240822331	-4.83542520412946	-9.0556395396729	1.32412219850516e-18	6.69078946904658e-15	30.7819453665695
"ENSG00000213023"	"SYT3"	-3.21555996442718	-4.58077060396469	-8.58772360777553	5.69967901408346e-17	2.16003585436228e-13	27.301126764884
"ENSG00000120440"	"TTLL2"	-1.96712925118579	-5.548323623529	-8.39833478091912	2.49954465806104e-16	7.57811949430947e-13	25.8255997059652
"ENSG00000110092"	"CCND1"	4.05245985046684	6.05199819500748	8.37140725450834	3.07768666985349e-16	7.77577537138485e-13	25.9744882525366
"ENSG00000171435"	"KSR2"	-2.36674818199515	-4.36535724821095	-8.01439064419553	4.61757455115557e-15	9.99968751728104e-12	23.1800514090822
"ENSG00000183580"	"FBXL7"	-3.33971171658024	-2.98315628198194	-7.95920316427261	6.95923220711699e-15	1.31868751284608e-11	22.9041882135069
"ENSG00000185008"	"ROBO2"	-2.70894050486811	-4.44359705519879	-7.92415631135198	9.01943300152852e-15	1.38130542996899e-11	22.5579370767008
"ENSG00000107518"	"ATRNL1"	-3.17386599476136	-2.65850120376121	-7.92277203963592	9.11211445325542e-15	1.38130542996899e-11	22.69192565644
"ENSG00000130147"	"SH3BP4"	-2.97965502305002	-3.52263633406868	-7.8770054408932	1.27661209585764e-14	1.7592875237369e-11	22.2982654551149
"ENSG00000064309"	"CDON"	-1.51937239865471	-1.29177739699803	-7.79137410064735	2.38897195746633e-14	3.01786882526934e-11	21.8780440587897
"ENSG00000175344"	"CHRNA7"	-2.17521990754078	-3.25703427336284	-7.66974160225709	5.76275145075574e-14	6.71981148015433e-11	20.8998146476611
"ENSG00000197584"	"KCNMB2"	2.89944202489174	0.443289451630803	7.61303029375191	8.65483090548625e-14	9.37132726401901e-11	20.751817272531
"ENSG00000165868"	"HSPA12A"	-2.84188589669295	-2.25718156004643	-7.56627896853882	1.20798678787069e-13	1.22079144782212e-10	20.2597324172186
"ENSG00000163344"	"PMVK"	-0.608235842263501	5.5832302095001	-7.46244315016622	2.51804237227899e-13	2.38568777008608e-10	19.3127607301892
"ENSG00000104369"	"JPH1"	-2.08031101087902	-4.1649489770554	-7.39865714980173	3.93759446362953e-13	3.51117614553883e-10	19.0415566280166
"ENSG00000103260"	"METRN"	1.34763030814305	1.99986114160702	7.26051459242285	1.02574143775778e-12	8.63845247498343e-10	18.3516381110583
"ENSG00000163995"	"ABLIM2"	-1.76186189491067	-2.39277420207016	-7.2317637742341	1.24958059133354e-12	9.91406128185771e-10	18.0477351502086
"ENSG00000130477"	"UNC13A"	-1.98811671682071	-4.5303464405398	-7.22509411464876	1.30800993229866e-12	9.91406128185771e-10	17.8754429203046
