"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000108175"	"ZMIZ1"	1.26740319699045	3.57107194011672	5.21383892140742	2.43570756857332e-07	0.00281624616900212	6.59087234897003
"ENSG00000166483"	"WEE1"	1.00021553104876	3.15560321056622	5.1319482396012	3.71560943202338e-07	0.00281624616900212	6.13282746248726
"ENSG00000156136"	"DCK"	0.600319863047019	3.17414413692677	5.02651556254748	6.34547946650597e-07	0.00320637077442547	5.64235304122539
"ENSG00000119403"	"PHF19"	0.690271471480386	3.71500942591119	4.75184167775583	2.44551492160788e-06	0.00926789017416345	4.4617763653843
"ENSG00000069275"	"NUCKS1"	0.392133220693053	6.85902550004827	4.68151969968295	3.4181493296327e-06	0.0103631451375804	4.14214119661511
"ENSG00000112486"	"CCR6"	1.32568273154107	-4.82304952938739	4.53982693186891	6.62370463955816e-06	0.0167347897718437	1.84325655082202
"ENSG00000175643"	"RMI2"	0.739517566789175	0.73849607969085	4.43810827574034	1.05352467376417e-05	0.0228148293279872	2.61430235139593
"ENSG00000162894"	"FCMR"	1.06676073647295	2.49811255071686	4.37747808303597	1.38324473200231e-05	0.0229514748141656	2.82207609028666
"ENSG00000168904"	"LRRC28"	-0.368250613701794	3.65420548458807	-4.35346977941746	1.53934926803494e-05	0.0229514748141656	2.78061428549392
"ENSG00000185347"	"TEDC1"	0.429836845227485	3.05444617933471	4.33743012761302	1.65287168462874e-05	0.0229514748141656	2.71033870730659
"ENSG00000058056"	"USP13"	0.720389627293577	2.83695928296978	4.33571757427466	1.66545433706591e-05	0.0229514748141656	2.67869262757186
"ENSG00000276043"	"UHRF1"	0.672580009490813	2.38004993502893	4.2942465002873	1.99962021502554e-05	0.0251870291504326	2.46367877943753
"ENSG00000073111"	"MCM2"	0.551411899019838	4.23315336297815	4.26166212331831	2.3061256318057e-05	0.0251870291504326	2.42204164747146
"ENSG00000137824"	"RMDN3"	-0.287543386105081	6.26318865099448	-4.25968157290219	2.32613238410222e-05	0.0251870291504326	2.36690146137768
"ENSG00000196284"	"SUPT3H"	0.502827887324175	2.57682344037856	4.22982558173592	2.64852541345669e-05	0.0267659978283933	2.25446281193595
"ENSG00000120306"	"CYSTM1"	-0.399294037950479	4.37296180229775	-4.13532243993153	3.97354340987935e-05	0.0376468403439756	1.93703187626292
"ENSG00000125734"	"GPR108"	-0.201805573661471	6.57718803021542	-4.09338420422958	4.74527609401914e-05	0.0423139060642566	1.70881729479214
"ENSG00000147536"	"GINS4"	0.559405710809189	1.4708491738563	4.06494549700366	5.3474661052253e-05	0.0442556943064964	1.45489169380467
"ENSG00000167895"	"TMC8"	1.0982769245595	3.71611575791899	4.01548166689919	6.57134472323268e-05	0.0442556943064964	1.48370931942282
"ENSG00000127084"	"FGD3"	0.336554032483358	4.73773340445883	4.01320615571393	6.63359891281315e-05	0.0442556943064964	1.43707131242143
"ENSG00000134153"	"EMC7"	-0.260106968145531	7.03403502748176	-4.00407502759873	6.88908184788629e-05	0.0442556943064964	1.36839843047815
"ENSG00000198890"	"PRMT6"	0.896335338808468	1.73789729019052	3.98670481554444	7.40105605161175e-05	0.0442556943064964	1.27223713613341
"ENSG00000184992"	"BRI3BP"	0.497194203061647	4.1326065860934	3.98495856084397	7.45447483468852e-05	0.0442556943064964	1.36352596458777
"ENSG00000129691"	"ASH2L"	0.318441348350956	4.26659221783232	3.97610646286137	7.73093284707502e-05	0.0442556943064964	1.32500524495162
"ENSG00000188610"	"FAM72B"	0.584359314529156	0.677205337522832	3.97272713756137	7.83901199019367e-05	0.0442556943064964	0.97829746267502
"ENSG00000214128"	"TMEM213"	-0.802378648903398	-3.74424705750941	-3.96838083488725	7.98012297425541e-05	0.0442556943064964	0.152078311050627
"ENSG00000175040"	"CHST2"	-1.113594115805	5.6074385355026	-3.95915227892892	8.28776499235304e-05	0.0442556943064964	1.24456127627442
"ENSG00000198554"	"WDHD1"	0.577151604360755	1.60036767955616	3.95443239696994	8.44941537474579e-05	0.0442556943064964	1.11154969494975
"ENSG00000100105"	"PATZ1"	0.302405593115623	4.45441781558133	3.95394268040121	8.46635750965365e-05	0.0442556943064964	1.22949530099225
"ENSG00000104738"	"MCM4"	0.443840279227435	4.52993948891013	3.92108078806161	9.67970430554194e-05	0.0489115458559034	1.11068085350254
"ENSG00000167984"	"NLRC3"	0.69108993327076	0.823605123754022	3.90695290473231	0.000102503934736654	0.0498829166592711	0.844331536720173
"ENSG00000155893"	"PXYLP1"	-0.312516526754537	3.8030554263794	-3.90029888533723	0.00010530070143787	0.0498829166592711	1.07767145539051
"ENSG00000161692"	"DBF4B"	0.373531694746442	2.10938212152564	3.88760648671744	0.000110836742912305	0.0506757158878552	0.962230942895696
"ENSG00000129810"	"SGO1"	0.56355361893956	0.963132231067232	3.88101109393682	0.000113820993590394	0.0506757158878552	0.749035976157083
"ENSG00000188130"	"MAPK12"	0.533832461474693	2.90841044088792	3.86893355214003	0.000119483660652816	0.0506757158878552	0.967743960210139
"ENSG00000124813"	"RUNX2"	1.2530881269106	2.122508460613	3.84895769011113	0.000129437727658287	0.0506757158878552	0.879722850381265
"ENSG00000051341"	"POLQ"	0.509135206726567	2.75179966141381	3.84586997852988	0.000131044529268089	0.0506757158878552	0.871294083870675
"ENSG00000017427"	"IGF1"	-0.395445527795609	6.70887094877056	-3.84463035068377	0.000131694898038453	0.0506757158878552	0.773966702076963
"ENSG00000168397"	"ATG4B"	0.192366803453257	5.43974622390397	3.8426682139207	0.000132730563962862	0.0506757158878552	0.781094101555516
"ENSG00000113580"	"NR3C1"	-0.341903907034159	7.37731512344056	-3.84081118056575	0.00013371783333427	0.0506757158878552	0.765708398946287
"ENSG00000122203"	"KIAA1191"	-0.202820228391901	6.82472859980691	-3.81823399753619	0.000146288789220678	0.053810867998736	0.678938890060911
"ENSG00000117724"	"CENPF"	0.704134943353176	3.1325122802414	3.81345323835945	0.000149090075595152	0.053810867998736	0.771590188935824
"ENSG00000004660"	"CAMKK1"	-0.466321927788594	3.52823649141943	-3.79957824804929	0.000157509475817416	0.0538888112492279	0.724995794804222
"ENSG00000168078"	"PBK"	0.669271695513824	1.21101478356087	3.79606410014374	0.000159711963626403	0.0538888112492279	0.521926650290109
"ENSG00000047346"	"ATOSA"	-0.352243008079332	8.05068710610862	-3.79487770461279	0.00016046207050796	0.0538888112492279	0.614701380918112
"ENSG00000139318"	"DUSP6"	0.802044843265848	5.76864744628788	3.78648412663111	0.000165864636518515	0.0538888112492279	0.56554545208937
"ENSG00000169679"	"BUB1"	0.501709098917678	3.96262189450332	3.78463061621872	0.000167080554701083	0.0538888112492279	0.651265858835199
"ENSG00000171320"	"ESCO2"	0.667592166608859	0.43021642216114	3.77188080080758	0.000175675045319174	0.0554803752498617	0.321987328660688
"ENSG00000150457"	"LATS2"	-0.724692855227086	3.59736141907041	-3.75908936664836	0.000184715053886773	0.0555177283355122	0.584460973258798
"ENSG00000142731"	"PLK4"	0.512943630987277	2.09047559260648	3.7530458573073	0.00018913695173315	0.0555177283355122	0.502887831536817
"ENSG00000189057"	"FAM111B"	0.691718187682097	1.87342815273323	3.74338772250501	0.000196411152365542	0.0555177283355122	0.450327754063102
"ENSG00000106948"	"AKNA"	0.539273397334502	5.57412634500662	3.74010251598231	0.000198944939640821	0.0555177283355122	0.404944523662698
"ENSG00000160949"	"TONSL"	0.34906563628656	3.90325581115359	3.73727117346826	0.000201153335276306	0.0555177283355122	0.486579914902395
"ENSG00000077514"	"POLD3"	0.319095157453241	3.28899076064742	3.73591712432208	0.000202217607967213	0.0555177283355122	0.505169763351019
"ENSG00000104853"	"CLPTM1"	-0.187095062001472	7.5011486561479	-3.72937111557592	0.000207437904420154	0.0555177283355122	0.369971960350404
"ENSG00000135185"	"TMEM243"	-0.29610131404895	6.62930233359481	-3.72815811862074	0.000208419067558199	0.0555177283355122	0.355248953526781
"ENSG00000134222"	"PSRC1"	0.590025460916037	-0.0827874796324365	3.72467972159823	0.00021125693472088	0.0555177283355122	0.0949358143528078
"ENSG00000203485"	"INF2"	0.548360676338058	4.53001782622874	3.72327055256458	0.000212416930104869	0.0555177283355122	0.391086726524297
"ENSG00000160957"	"RECQL4"	0.442669173528825	3.59055923011403	3.71382506034611	0.000220348354448475	0.0566145882217701	0.419695810523435
"ENSG00000148773"	"MKI67"	0.666137119893285	4.32570993252518	3.70829046218288	0.000225124387614624	0.0568776765308347	0.358611462897802
"ENSG00000143476"	"DTL"	0.612423477055152	2.66662075111458	3.70060249096789	0.000231920422768423	0.0576341260450249	0.375736790375724
"ENSG00000267041"	"ZNF850"	0.55087118632077	-0.804528409576931	3.68697535260418	0.000244443023839166	0.0586087557585537	-0.131858781229558
"ENSG00000213523"	"SRA1"	-0.23829562149105	5.66879489345145	-3.68567084201619	0.000245674569270484	0.0586087557585537	0.220636382034058
"ENSG00000167460"	"TPM4"	-0.436219274631293	9.51207386319317	-3.68381029179004	0.000247441148396823	0.0586087557585537	0.258694241704435
"ENSG00000145919"	"BOD1"	-0.199686279753674	4.77711007929159	-3.67878677276132	0.000252270774068966	0.0587163748383571	0.237956933576895
"ENSG00000147912"	"FBXO10"	-0.388210991567621	5.22682250691451	-3.67533324787485	0.000255642241528569	0.0587163748383571	0.207022363801359
"ENSG00000119969"	"HELLS"	0.440258858178258	2.92961064187474	3.66566111136677	0.000265311313350128	0.0600276746130535	0.268325341481065
"ENSG00000109083"	"IFT20"	-0.26123881689861	5.83247724704364	-3.65749058927467	0.000273745891342231	0.0602015612226174	0.118745901732414
"ENSG00000186174"	"BCL9L"	0.594952245494033	2.25071390549929	3.65722662366755	0.00027402254267172	0.0602015612226174	0.218997712705439
"ENSG00000145700"	"ANKRD31"	-0.772312054163471	0.536558505872159	-3.64327084022255	0.000289028684986706	0.0620034826369298	-0.157511942968604
"ENSG00000170291"	"ELP5"	-0.191838383785624	4.99524520069183	-3.64135348670969	0.000291149622446884	0.0620034826369298	0.0993208397121306
"ENSG00000062582"	"MRPS24"	-0.30293425610322	6.65905050992477	-3.63607044498356	0.000297069456421286	0.0620034826369298	0.0330942320691694
"ENSG00000169230"	"PRELID1"	-0.234149627256344	7.44309283637945	-3.63166785976667	0.000302088819760869	0.0620034826369298	0.0271131028542433
"ENSG00000126215"	"XRCC3"	0.322550815227435	3.31375029250125	3.62915456642772	0.000304989787540292	0.0620034826369298	0.143534215934447
"ENSG00000109674"	"NEIL3"	0.677624245158764	-0.833752870774995	3.62426221963983	0.000310711902891253	0.0620034826369298	-0.29514448802752
"ENSG00000113615"	"SEC24A"	-0.286675886847882	7.37499597934162	-3.62414019226624	0.000310855906089232	0.0620034826369298	-0.000973342326498816
"ENSG00000117632"	"STMN1"	0.507801142803019	5.35282382023295	3.61669911439999	0.000319756328273556	0.0622427940521291	-0.0139667293155208
"ENSG00000213658"	"LAT"	0.470381150527936	2.50241679847747	3.61627752185009	0.000320267691540739	0.0622427940521291	0.0962671067790746
"ENSG00000170365"	"SMAD1"	1.11392704916456	2.93722616966729	3.60684888111568	0.000331906386468493	0.0630254995431386	0.0540050695191461
"ENSG00000103978"	"TMEM87A"	-0.203132399603552	6.4728162024281	-3.60628860327005	0.000332610328085698	0.0630254995431386	-0.0693122979864027
"ENSG00000100479"	"POLE2"	0.556493985773501	0.479148338797474	3.60194217721204	0.000338118993016452	0.0632783433967457	-0.179252176227074
"ENSG00000176919"	"C8G"	-0.394006491701796	-1.00176931743086	-3.59610875770727	0.000345646800965784	0.0638982909248819	-0.447594233562546
"ENSG00000100162"	"CENPM"	0.487935634746286	1.46123458723816	3.58474227970637	0.000360768242385442	0.0658901901966375	-0.0955528986785206
"ENSG00000197619"	"ZNF615"	0.50475702541462	1.9372591229979	3.57369460176033	0.000376057817080902	0.0678650053467784	-0.073934535849669
"ENSG00000197361"	"FBXL22"	-0.506423191684922	0.861992727798	-3.56914807824717	0.000382524628517359	0.0682198922787606	-0.287684755908368
"ENSG00000145386"	"CCNA2"	0.525268928440432	2.10540333436371	3.56374315512106	0.00039034788599846	0.068805623300589	-0.102530553419002
"ENSG00000162931"	"TRIM17"	0.620738942492379	-1.45445873226876	3.55978409001329	0.000396173161201491	0.0690297580534873	-0.549739704646797
"ENSG00000129173"	"E2F8"	0.69114955053014	0.957883787503951	3.55645979776483	0.000401127211146883	0.0690987203838136	-0.239458821402124
"ENSG00000176428"	"VPS37D"	-0.65306758546842	0.057585445036087	-3.54149435052104	0.000424156353959552	0.0701500104067949	-0.472092169160514
"ENSG00000179292"	"TMEM151A"	-0.843595960348628	-2.59525331829247	-3.5401994474855	0.000426206072649506	0.0701500104067949	-0.802637487000787
"ENSG00000170906"	"NDUFA3"	-0.202179903263021	5.91357107745077	-3.53613882412743	0.0004326939488066	0.0701500104067949	-0.299039518559323
"ENSG00000122952"	"ZWINT"	0.547813708823496	3.02669230390314	3.53511982416773	0.000434336501667125	0.0701500104067949	-0.15640976689879
"ENSG00000120254"	"MTHFD1L"	0.573433631334883	4.46379098060127	3.53404936900524	0.000436068278143794	0.0701500104067949	-0.254973149120467
"ENSG00000007402"	"CACNA2D2"	-0.462569140079491	1.50391604294569	-3.52938102213045	0.000443696490541014	0.0701500104067949	-0.303721168809748
"ENSG00000136573"	"BLK"	0.912918619318795	2.50502100249243	3.52690879670182	0.000447786554994735	0.0701500104067949	-0.18282226217914
"ENSG00000131747"	"TOP2A"	0.68650674173793	3.45110782577194	3.52597195951087	0.000449345656868701	0.0701500104067949	-0.199360349124643
"ENSG00000198756"	"COLGALT2"	0.80712038153966	-1.74358014975156	3.52286999230738	0.000454544320718368	0.0701500104067949	-0.686824975773171
"ENSG00000171502"	"COL24A1"	0.696056977742546	3.95691952790443	3.52049140809162	0.000458568692111512	0.0701500104067949	-0.269281086737922
"ENSG00000157680"	"DGKI"	-0.943428999983468	2.28940275985943	-3.52003399417134	0.000459346409022688	0.0701500104067949	-0.281869406059987
"ENSG00000170779"	"CDCA4"	0.311429739092577	2.77533076157104	3.51647827215054	0.000465434209600397	0.0701500104067949	-0.216227600216279
"ENSG00000184661"	"CDCA2"	0.622926133536853	0.828494989118445	3.51197599324692	0.000473250871075515	0.0701500104067949	-0.394606220049502
"ENSG00000166797"	"CIAO2A"	-0.224150088524802	6.20107295620804	-3.51029230574886	0.000476205415400435	0.0701500104067949	-0.391675484124981
"ENSG00000151445"	"VIPAS39"	0.217734975692276	3.62891240706846	3.51004302999368	0.000476644308457014	0.0701500104067949	-0.262682413395287
"ENSG00000012048"	"BRCA1"	0.449436021708098	3.2152912380122	3.50348287789504	0.000488331408958416	0.0711789983500061	-0.264125430217612
"ENSG00000179364"	"PACS2"	0.259548788049401	5.42191340797052	3.50054580216703	0.000493650215215226	0.0712689867852154	-0.411157751880095
"ENSG00000112118"	"MCM3"	0.376650871663245	5.22121111391134	3.49183735583648	0.000509740443390165	0.0723140896288868	-0.430220023572848
"ENSG00000170892"	"TSEN34"	-0.200262281633198	5.04280387447568	-3.49134138994704	0.000510671405851912	0.0723140896288868	-0.41139358835648
"ENSG00000117650"	"NEK2"	0.723338927354107	0.927659171517804	3.48383429909404	0.000524958124972123	0.0723140896288868	-0.472894119448853
"ENSG00000160570"	"DEDD2"	-0.254181766615891	6.06827485466114	-3.47798681073853	0.000536344153607964	0.0723140896288868	-0.496567239611057
"ENSG00000140455"	"USP3"	-0.304509799916998	6.32062042943313	-3.47756904281647	0.000537166379876989	0.0723140896288868	-0.501939601795381
"ENSG00000125944"	"HNRNPR"	0.148193070979103	7.21606682208876	3.47316215299422	0.000545911744771316	0.0723140896288868	-0.509771281898215
"ENSG00000163946"	"TASOR"	0.180368204227104	6.50675096436819	3.46826714391974	0.000555781504988824	0.0723140896288868	-0.533910128858733
"ENSG00000138778"	"CENPE"	0.518821795195101	2.15789058279268	3.46808539980781	0.000556151141133579	0.0723140896288868	-0.394753962470888
"ENSG00000185278"	"ZBTB37"	0.394461557085057	3.77764096234257	3.46781957790591	0.00055669219025979	0.0723140896288868	-0.407079172956002
"ENSG00000284292"	""	-0.563879929595198	-0.388394791650342	-3.46266436563813	0.000567282664796588	0.0723140896288868	-0.764598248088858
"ENSG00000100897"	"DCAF11"	0.187456007244133	6.19239828205807	3.45972851816447	0.000573397572770846	0.0723140896288868	-0.561679801407421
"ENSG00000153179"	"RASSF3"	0.499804240702979	3.51682839684207	3.45879344424261	0.000575358063211458	0.0723140896288868	-0.419336531905461
"ENSG00000143228"	"NUF2"	0.578600312612603	1.94317847514866	3.45859115932556	0.000575782998979192	0.0723140896288868	-0.440811976240908
"ENSG00000143379"	"SETDB1"	0.186783139170013	5.53239567721933	3.45806524328901	0.000576889150791615	0.0723140896288868	-0.552339676020315
"ENSG00000169184"	"MN1"	-0.746635224449245	1.91858875612834	-3.45356222666889	0.000586441782066943	0.0723140896288868	-0.498693370887985
"ENSG00000118263"	"KLF7"	-0.649924951916323	5.012507006609	-3.45345734509481	0.000586666024886464	0.0723140896288868	-0.516483808442612
"ENSG00000106052"	"TAX1BP1"	-0.168409252033097	7.28039676311763	-3.45008219324427	0.000593925145961996	0.0723140896288868	-0.586990475046188
"ENSG00000205730"	"ITPRIPL2"	1.11561103984068	-0.291618101767365	3.44960740459243	0.000594952995947769	0.0723140896288868	-0.683676379365871
"ENSG00000103227"	"LMF1"	-0.433214298467613	5.71245329923358	-3.4478586823737	0.000598753058780482	0.0723140896288868	-0.582343783179513
"ENSG00000119630"	"PGF"	-0.61780824416227	-0.282491889316639	-3.44603073529033	0.000602749474028789	0.0723140896288868	-0.785935578360949
"ENSG00000183484"	"GPR132"	1.16127317841444	-1.94163152915822	3.44339584621684	0.000608553889485706	0.0723140896288868	-0.875615144223463
"ENSG00000068697"	"LAPTM4A"	-0.248834477758213	7.5115229115432	-3.44317063852831	0.000609052411629589	0.0723140896288868	-0.606418359731371
"ENSG00000253729"	"PRKDC"	0.251882936192263	7.1271978118854	3.43915708665442	0.000618000976444029	0.0723140896288868	-0.621654833020813
"ENSG00000137310"	"TCF19"	0.478691075027881	4.0588059321943	3.43721032346876	0.000622385471721784	0.0723140896288868	-0.529955782167638
"ENSG00000167670"	"CHAF1A"	0.317106274884881	4.14671116320384	3.43640774386461	0.000624201468785047	0.0723140896288868	-0.539172192938489
