"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000000419"	"DPM1"	-5.36501997727081	5.27215789413845	-76.9140816627152	0	0	779.113453722214
"ENSG00000001084"	"GCLC"	-4.82820737275726	4.82054687576974	-73.4524758511849	0	0	750.357377378672
"ENSG00000001167"	"NFYA"	-5.54439135347803	5.59352830198755	-76.7028686897775	0	0	777.430473086348
"ENSG00000001629"	"ANKIB1"	-6.52364064547549	6.45983589589764	-94.7030298387448	0	0	912.040346015676
"ENSG00000001630"	"CYP51A1"	-6.63933683375312	6.50835944841775	-77.8694789216615	0	0	786.924047520604
"ENSG00000002549"	"LAP3"	-7.28943865885153	7.14399319521532	-71.4214595301278	0	0	733.115252764746
"ENSG00000002834"	"LASP1"	-7.00412085562474	6.80868247367258	-87.7159170989536	0	0	862.557415660903
"ENSG00000003056"	"M6PR"	-6.84836026810397	6.84874192724657	-97.8518468892262	0	0	933.311773092432
"ENSG00000003400"	"CASP10"	-7.74418774271452	7.73482155430518	-84.2229639818818	0	0	836.518322246367
"ENSG00000003402"	"CFLAR"	-9.57362292661139	9.27977707832187	-83.9951147809403	0	0	834.645449348725
"ENSG00000003756"	"RBM5"	-7.25973863416504	7.46078611667655	-118.464674225848	0	0	1059.18280114768
"ENSG00000004059"	"ARF5"	-6.06573092939534	5.94456329920943	-81.3614620555778	0	0	814.586436529701
"ENSG00000004142"	"POLDIP2"	-6.34907651739034	6.21277045089064	-122.918757410267	0	0	1083.8496819823
"ENSG00000004455"	"AK2"	-6.29975721876235	6.33296034419948	-89.1932720083435	0	0	873.295722798103
"ENSG00000004468"	"CD38"	-8.67140023066212	8.68844953088863	-83.7495203439943	0	0	832.838841251812
"ENSG00000004487"	"KDM1A"	-5.72531053178483	5.58498114207836	-117.751698917926	0	0	1055.15627594567
"ENSG00000004534"	"RBM6"	-7.44513367752999	7.67864536324103	-109.535234973497	0	0	1007.23107370924
"ENSG00000004779"	"NDUFAB1"	-5.65377116008961	5.49531882971843	-91.7186699260813	0	0	891.229606543363
"ENSG00000004866"	"ST7"	-5.69066624378176	5.63028786968386	-100.185254412744	0	0	948.634781162826
"ENSG00000004897"	"CDC27"	-6.18763899802398	6.13788017200469	-117.180162905697	0	0	1052.0183944937
"ENSG00000004975"	"DVL2"	-4.81312704953754	4.88923154670138	-71.3609245379924	0	0	732.517012351196
"ENSG00000005007"	"UPF1"	-6.9259314826997	7.0039175105969	-75.1737856491854	0	0	764.866272553173
"ENSG00000005075"	"POLR2J"	-5.90158104877889	5.73491468228639	-101.527952926657	0	0	957.357989676611
"ENSG00000005156"	"LIG3"	-5.73715742789189	5.77228526795609	-92.0760299013725	0	0	893.786592216778
"ENSG00000005206"	"SPPL2B"	-6.33052445660893	6.54791889353431	-91.7372687714781	0	0	891.431422057651
"ENSG00000005339"	"CREBBP"	-6.6610026785132	6.7149830800205	-81.185657850615	0	0	813.228188176694
"ENSG00000005483"	"KMT2E"	-7.44815879994892	7.34691700731089	-83.5076422919332	0	0	831.113532912649
"ENSG00000005486"	"RHBDD2"	-5.99173956991383	5.8865042487387	-73.4888643464295	0	0	750.758355030614
"ENSG00000005700"	"IBTK"	-6.17092860748876	6.15631854875369	-79.2394482774415	0	0	797.895751366948
"ENSG00000005801"	"ZNF195"	-5.28876243873456	5.25000032083248	-80.5393888840852	0	0	808.099559755851
"ENSG00000006007"	"GDE1"	-6.21773029549382	6.08378657432393	-119.89634220484	0	0	1067.24699966104
"ENSG00000006015"	"REX1BD"	-6.49000044144323	6.48637985808894	-82.7151753661806	0	0	825.07016681169
"ENSG00000006125"	"AP2B1"	-6.63557725753656	6.58738530152045	-90.1582402743304	0	0	880.225985315244
"ENSG00000006194"	"ZNF263"	-5.42992703425515	5.49334244129149	-109.570161759264	0	0	1007.44909364393
"ENSG00000006282"	"SPATA20"	-6.32365362615735	6.4578852166131	-81.426642461109	0	0	815.107775876763
"ENSG00000006451"	"RALA"	-5.09044783350269	4.95509737153102	-83.1518654996595	0	0	828.274734763577
"ENSG00000006530"	"AGK"	-5.18064128343344	5.12133975634625	-86.4680566292836	0	0	853.26463548847
"ENSG00000006712"	"PAF1"	-6.20526388165861	6.18173860791121	-110.981075591043	0	0	1015.99834701837
"ENSG00000006744"	"ELAC2"	-6.29478934650949	6.20781175029695	-105.800131348126	0	0	984.467804909933
"ENSG00000006831"	"ADIPOR2"	-5.38802333969358	5.44079589111842	-80.275599389594	0	0	806.053087875824
"ENSG00000007047"	"MARK4"	-4.617644849467	4.62509743634102	-75.3563168851797	0	0	766.218948854025
"ENSG00000007080"	"CCDC124"	-5.2203224511269	5.15136156105904	-87.3205224780142	0	0	859.548937207099
"ENSG00000007168"	"PAFAH1B1"	-6.88124043306364	6.81718280486898	-117.951205575697	0	0	1056.38580019554
"ENSG00000007202"	"BLTP2"	-7.68150613905197	7.79843429595054	-122.980171057428	0	0	1084.02025383464
"ENSG00000007520"	"TSR3"	-5.12282721760591	5.05894630630119	-87.3553674932392	0	0	859.784599524895
"ENSG00000007541"	"PIGQ"	-5.22903695869325	5.29165030217701	-79.5522096556086	0	0	800.317000548044
"ENSG00000007923"	"DNAJC11"	-5.34264028341817	5.33704497037603	-116.491231248496	0	0	1047.95089777045
"ENSG00000008018"	"PSMB1"	-7.24853696781525	7.14214827748081	-106.583898215999	0	0	989.305479164932
"ENSG00000008130"	"NADK"	-6.53907664727666	6.47694549519608	-110.439001230044	0	0	1012.77232028475
"ENSG00000008294"	"SPAG9"	-6.2970553930615	6.29384291361898	-71.52458918651	0	0	734.011581212407
"ENSG00000008710"	"PKD1"	-6.35265926218436	6.613243257659	-76.9025866096062	0	0	779.083860422488
"ENSG00000008838"	"MED24"	-5.92269216945517	5.97175910413166	-107.665698163022	0	0	995.9652534647
"ENSG00000008869"	"HEATR5B"	-6.00951773706784	5.88570206979881	-75.698013023235	0	0	769.198037964876
"ENSG00000008952"	"SEC62"	-8.4230834229727	8.54622686353669	-104.342235085721	0	0	975.118338220437
"ENSG00000008988"	"RPS20"	-9.60912221532559	9.68786358341806	-108.895880268141	0	0	1002.95834200666
"ENSG00000009307"	"CSDE1"	-9.35653745688168	9.44592098303276	-118.538716419258	0	0	1059.11985772033
"ENSG00000009335"	"UBE3C"	-6.42675553598979	6.37066331897491	-98.9681694245296	0	0	940.719294131124
"ENSG00000009954"	"BAZ1B"	-6.7665748936845	6.76910502163679	-109.265363067521	0	0	1005.70969194124
"ENSG00000010017"	"RANBP9"	-6.14209070589859	6.03075057641068	-101.75108339807	0	0	958.837080293713
"ENSG00000010244"	"ZNF207"	-7.80995774714673	7.73710361090047	-153.872201681237	0	0	1234.42939400958
"ENSG00000010256"	"UQCRC1"	-6.54602615125953	6.52735492430795	-111.651512455819	0	0	1019.99211790221
"ENSG00000010270"	"STARD3NL"	-4.75883976783422	4.69752809874064	-81.6485669832417	0	0	816.639797415548
"ENSG00000010322"	"NISCH"	-6.81000982659001	6.98481571335931	-113.686602655299	0	0	1031.92688827769
"ENSG00000010803"	"SCMH1"	-5.30403730070775	5.42816159850656	-78.4125409292652	0	0	791.252104168242
"ENSG00000011007"	"ELOA"	-5.91132243280106	5.7785885429527	-93.1471947199239	0	0	901.263387152517
"ENSG00000011009"	"LYPLA2"	-5.43880395158631	5.35587965329589	-107.663194848783	0	0	995.830626749895
"ENSG00000011114"	"BTBD7"	-4.76667081180862	4.90669531732786	-74.1547165541197	0	0	756.286712354725
"ENSG00000011132"	"APBA3"	-4.98972283307258	5.03581719980017	-76.2135734878312	0	0	773.36105027022
"ENSG00000011243"	"AKAP8L"	-6.43272741401994	6.51927883978461	-103.598947708087	0	0	970.658333432331
"ENSG00000011258"	"MBTD1"	-4.98113004914987	5.13314060334866	-74.4691801018342	0	0	758.943149459593
"ENSG00000011260"	"UTP18"	-5.01901410496038	5.08767055824039	-94.6415999031813	0	0	911.466393992691
"ENSG00000011275"	"RNF216"	-5.85746247024818	5.86755067220343	-76.8960692412259	0	0	779.017988588695
"ENSG00000011295"	"TTC19"	-5.68284876977305	5.64610827655446	-100.160172190885	0	0	948.478369755197
"ENSG00000011304"	"PTBP1"	-7.85871814368311	7.89791682140277	-184.392474454377	0	0	1356.61239998902
"ENSG00000011405"	"PIK3C2A"	-6.45668324437242	6.49433809931054	-81.6511618761179	0	0	816.852948914295
"ENSG00000011451"	"WIZ"	-5.90094309493446	5.93392105017337	-97.7909478296543	0	0	932.892152506216
"ENSG00000011454"	"RABGAP1"	-5.41909759228245	5.54942846384419	-95.9417410601037	0	0	920.419425903997
"ENSG00000011485"	"PPP5C"	-6.03077917667209	5.96326151202699	-73.6095959171055	0	0	751.782002421989
"ENSG00000012061"	"ERCC1"	-6.05268103454611	6.17184585272099	-88.9539793223274	0	0	871.560606812399
"ENSG00000012822"	"CALCOCO1"	-7.49697162412787	7.52741187266266	-84.6339186065291	0	0	839.63527113505
"ENSG00000012983"	"MAP4K5"	-5.34267610034348	5.46415487480076	-73.406030160366	0	0	750.039480293178
"ENSG00000013275"	"PSMC4"	-6.51606062487294	6.39828361828348	-126.114544018674	0	0	1100.99336836308
"ENSG00000013288"	"MAN2B2"	-5.98392363032232	6.11749691006596	-83.8989762237345	0	0	834.107516213092
"ENSG00000013306"	"SLC25A39"	-7.19971905162643	7.04432089508479	-129.301046240635	0	0	1117.64930598143
"ENSG00000013364"	"MVP"	-7.09726984694466	6.9320704601216	-91.8669930392337	0	0	892.335460555465
