"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000109685"	"NSD2"	2.24798009607985	6.95780487015064	19.255810677112	1.14426871275609e-66	1.73459694166695e-62	140.954939992119
"ENSG00000235034"	"C19orf81"	3.88997398183723	-4.77849936473773	16.2289266825627	1.55720235372563e-50	1.18028152400634e-46	103.086767753303
"ENSG00000213023"	"SYT3"	3.48314195459698	-4.58077060396469	15.2561518591381	1.3398079201748e-45	6.77004942064328e-42	92.0148587365497
"ENSG00000078328"	"RBFOX1"	2.14812963517906	-4.83542520412946	13.7808687404604	2.05209189416241e-38	7.776915255902e-35	75.8014917016679
"ENSG00000185008"	"ROBO2"	2.89733399340714	-4.44359705519879	13.7446799777897	3.04395260143369e-38	9.22865549702667e-35	75.4973073314712
"ENSG00000107518"	"ATRNL1"	3.20239513053443	-2.65850120376121	13.3040117616697	3.53072149736508e-36	8.92036786309287e-33	71.0769392700488
"ENSG00000104369"	"JPH1"	2.32651269751934	-4.1649489770554	13.233314671922	7.5061209340765e-36	1.6255041034238e-32	70.139703858776
"ENSG00000241794"	"SPRR2A"	2.50451227616523	-5.16830907208088	13.1797899756628	1.32653903661851e-35	2.5136256570125e-32	69.4841739651525
"ENSG00000120440"	"TTLL2"	1.90161810442105	-5.548323623529	12.8623116980884	3.77798769180885e-34	6.3633906022367e-31	66.174523502601
"ENSG00000130147"	"SH3BP4"	2.93941588241628	-3.52263633406868	12.7921684343633	7.86562280767179e-34	1.19234976141497e-30	65.6963456671496
"ENSG00000080709"	"KCNN2"	1.90256788319749	-5.39478010018319	12.5801787625259	7.10779645556603e-33	9.79518967908413e-30	63.3347566793064
"ENSG00000118971"	"CCND2"	4.05326796266144	3.8141961449399	12.5240824346183	1.26781846472372e-32	1.60157167556224e-29	63.0982927837418
"ENSG00000171435"	"KSR2"	2.27840356112193	-4.36535724821095	12.4799187195858	1.99722361360195e-32	2.32891636604554e-29	62.4410443664075
"ENSG00000064309"	"CDON"	1.50670307305559	-1.29177739699803	12.4287444107589	3.3773952022359e-32	3.65699527647814e-29	62.1683704771205
"ENSG00000143195"	"ILDR2"	2.53698270957069	-1.25629214300517	12.3162947931839	1.06624281626037e-31	1.07754499011273e-28	61.0693543992777
