p_values p_values_bf p_values_BH freq
AC005394.1..AC005381.1 0.131114284700784 1 0.703332875311723 112
MAGEC1..AL031073.2 0.0399880932623726 1 0.445018596217668 112
OAZ1..KLF2 0.654456604579341 1 0.838909625154315 97
FOSB..KLF2 0.427632468085701 1 0.78073851507856 91
B2M..IGH..ext 0.655514349074467 1 0.838909625154315 77
IGH..ext..NSD2 1.17834607245191e-41 6.46911993776099e-39 1.2938239875522e-39 77
STK25..IGH..ext 0.2705055543008 1 0.78073851507856 64
C12orf73..IGL..ext 0.0389079290484705 1 0.445018596217668 71
IGH...ext..TXNDC5 0.0468862808835759 1 0.476677188983022 66
AC093639.2..AC020584.1 0.675024508208469 1 0.838909625154315 65
AC244205.1..IGH..ext 0.555858055944484 1 0.838909625154315 50
IGH...ext..JCHAIN 0.555858055944484 1 0.838909625154315 50
LINC02384..MDM1 0.59949132338241 1 0.838909625154315 47
IGH...ext..EEF1A1P5 0.857189135483644 1 0.873092458962004 50
LINC00944..AC006065.4 0.500296116537525 1 0.812611147867164 44
IGL...ext..HSP90B1 0.210004669237003 1 0.75295666048473 43
AL162253.2..PLGRKT 0.507740032118326 1 0.822269255554457 40
FOSB..UBC 0.622963537067025 1 0.838909625154315 34
IGH..ext..JCHAIN 0.659063442735149 1 0.838909625154315 34
TMED3..MINAR1 0.138832928118456 1 0.703332875311723 35
RGPD5..BCL2L11 0.77967612246919 1 0.839298414187422 36
IGL...ext..RPL8 0.965870672629045 1 0.971177654346787 29
NSD2..IGH..ext 4.02505874462099e-16 2.20975725079692e-13 3.6829287513282e-14 30
AL138963.4..IGH..ext 0.0333928738901801 1 0.407393061460198 27
IGH..ext..RPS11 0.0829863306816796 1 0.653122215595669 24
IGH...NSD2 1.46160812137043e-12 8.02422858632366e-10 1.14631836947481e-10 26
IGH...ext..CYBA 0.324667214023203 1 0.78073851507856 28
JCHAIN..IGH..ext 0.0542274278719569 1 0.52229575266148 21
SIK1..KLF2 0.78698817611858 1 0.840197481602026 26
AL109761.1..CHODL 0.728642899855391 1 0.838909625154315 27
IGH...ext..AC008038.1 0.546755056920072 1 0.838909625154315 25
IGH....EEF1A1P5 0.109638963250304 1 0.661448250817766 24
B2M..GNAS 0.00167627170222642 0.920273164522304 0.0707902434247926 24
IGH...ext..RPL4 0.442036618152774 1 0.78073851507856 24
IGH...ext..JUN 0.129737569204898 1 0.703332875311723 19
IGL...ext..EEF1A1P5 0.984857538756966 1 0.984857538756966 23
DHRSX..IGH..ext 0.786116658997029 1 0.840197481602026 20
IGH..ext..AC244205.1 0.0150612252697517 1 0.295401201369344 19
AC106741.1..AC106729.1 0.190044281061703 1 0.75295666048473 21
MTND2P28..IGL..ext 0.457026440652576 1 0.78073851507856 22
IGL...ext..B2M 0.102791979208364 1 0.653122215595669 19
IGL...ext..FLOT2 0.0405299267957804 1 0.445018596217668 20
IGL...ext..EEF1A1 0.846225072571266 1 0.865135130058893 19
EEF1A1..IGH..ext 0.719557259711775 1 0.838909625154315 15
VPS37B..UBC 0.815710851901421 1 0.840197481602026 14
AC021055.1..LINC01995 0.177449785744615 1 0.75295666048473 17
TXNDC5..IGH..ext 0.0249301729116077 1 0.342166623211816 17
FOSB..SIK1 0.749778778934255 1 0.838909625154315 18
TMC3.AS1..AC023034.1 0.0632266931668056 1 0.559862170138327 17
IGH...ext..B2M 0.707410271917772 1 0.838909625154315 16
FOSB..IGH..ext 0.626549134313439 1 0.838909625154315 17
MMP24OS..EDEM2 0.475680063940286 1 0.78073851507856 17
IGH....JCHAIN 0.667673094947963 1 0.838909625154315 16
AC097500.1..FSIP2.AS1 0.25979731431957 1 0.78073851507856 16
B2M..IGH. 0.387659665198047 1 0.78073851507856 13
AL391840.3..SH3BGRL2 0.57630143861869 1 0.838909625154315 14
IGH...ext..EEF1A1 0.663133667210182 1 0.838909625154315 15
HIRA..IGH..ext 0.561628427460752 1 0.838909625154315 14
