Gene.name Chromosome.scaffold.name p_values p_values_BH p_values_Bonferroni
ENSG00000176225 RTTN 18 0.88120976366057 0.893011680138167 1
ENSG00000138685 FGF2 4 0.712566410484484 0.837038819182669 1
ENSG00000219626 FAM228B 2 0.507353200735007 0.837038819182669 1
ENSG00000124098 FAM210B 20 0.0140005348472754 0.187825186539292 1
ENSG00000196458 ZNF605 12 0.59397065396468 0.837038819182669 1
ENSG00000196591 HDAC2 6 0.308787933302748 0.822417132811698 1
ENSG00000168661 ZNF30 19 0.10818952214725 0.666043201131218 1
ENSG00000187553 CYP26C1 10 0.773592201464047 0.837038819182669 1
ENSG00000091986 CCDC80 3 0.507353200735007 0.837038819182669 1
ENSG00000182372 CLN8 8 0.712566410484484 0.837038819182669 1
ENSG00000105851 PIK3CG 7 0.10818952214725 0.666043201131218 1
ENSG00000136147 PHF11 13 0.308787933302748 0.822417132811698 1
ENSG00000148935 GAS2 11 0.712566410484484 0.837038819182669 1
ENSG00000135316 SYNCRIP 6 0.39513129540638 0.837038819182669 1
ENSG00000084207 GSTP1 11 0.712566410484484 0.837038819182669 1
ENSG00000139405 RITA1 12 0.773592201464047 0.837038819182669 1
ENSG00000120868 APAF1 12 0.59397065396468 0.837038819182669 1
ENSG00000166508 MCM7 7 0.164428705364561 0.812260765256851 1
ENSG00000083093 PALB2 16 0.308787933302748 0.822417132811698 1
ENSG00000182795 C1orf116 1 0.0278846894072566 0.335994535985254 1
ENSG00000054219 LY75 2 0.73605121590101 0.837038819182669 1
ENSG00000186001 LRCH3 3 0.338736123640566 0.822417132811698 1
ENSG00000011523 CEP68 2 0.838186853032695 0.861499941441754 1
ENSG00000175874 CREG2 2 0.339839630547903 0.822417132811698 1
ENSG00000185950 IRS2 13 0.689509401866637 0.837038819182669 1
ENSG00000215018 COL28A1 7 0.773592201464047 0.837038819182669 1
ENSG00000168453 HR 8 0.362522661101181 0.822417132811698 1
ENSG00000162241 SLC25A45 11 0.308787933302748 0.822417132811698 1
ENSG00000278053 DDX52 17 0.838186853032695 0.861499941441754 1
ENSG00000175928 LRRN1 3 0.362522661101181 0.822417132811698 1
ENSG00000113812 ACTR8 3 0.360955773651968 0.822417132811698 1
ENSG00000189339 SLC35E2B 1 0.773592201464047 0.837038819182669 1
ENSG00000166441 RPL27A 11 6.41832513729345e-70 1.82482043316966e-68 9.17884677884337e-66
ENSG00000043462 LCP2 5 0.712566410484484 0.837038819182669 1
ENSG00000180919 OR56B4 11 0.712566410484484 0.837038819182669 1
ENSG00000239887 C1orf226 1 0.838186853032695 0.861499941441754 1
ENSG00000169554 ZEB2 2 0.453348337094883 0.837038819182669 1
ENSG00000132780 NASP 1 0.637668010055734 0.837038819182669 1
ENSG00000174482 LINGO2 9 0.776065597191811 0.83845385010448 1
ENSG00000182271 TMIGD1 17 0.308787933302748 0.822417132811698 1
ENSG00000169174 PCSK9 1 0.59397065396468 0.837038819182669 1
ENSG00000145242 EPHA5 4 0.46882119145706 0.837038819182669 1
ENSG00000134759 ELP2 18 0.360955773651968 0.822417132811698 1
ENSG00000105339 DENND3 8 0.704476250020057 0.837038819182669 1
ENSG00000171811 CFAP46 10 0.9197701168595 0.929191328144088 1
ENSG00000142677 IL22RA1 1 0.773592201464047 0.837038819182669 1
ENSG00000173890 GPR160 3 0.308787933302748 0.822417132811698 1
ENSG00000117758 STX12 1 0.308787933302748 0.822417132811698 1
ENSG00000137996 RTCA 1 0.308787933302748 0.822417132811698 1
ENSG00000142186 SCYL1 11 0.597733257191955 0.837038819182669 1
