"Gene.name" "Chromosome.scaffold.name" "Gene.start..bp." "Gene.end..bp." "p_values" "p_values_BH" "p_values_bf"
"ENSG00000000419" "DPM1" 20 50934867 50959140 1 1 1
"ENSG00000000457" "SCYL3" 1 169849631 169894267 1 1 1
"ENSG00000000460" "FIRRM" 1 169662007 169854080 1 1 1
"ENSG00000000938" "FGR" 1 27612064 27635185 0.603027783017324 1 1
"ENSG00000000971" "CFH" 1 196651754 196752476 9.55248601600117e-06 0.000151427599053993 0.17823028408655
"ENSG00000001036" "FUCA2" 6 143494812 143511720 1 1 1
"ENSG00000001084" "GCLC" 6 53497341 53616970 1 1 1
"ENSG00000001167" "NFYA" 6 41072974 41102403 1 1 1
"ENSG00000001460" "STPG1" 1 24356999 24416934 0.00018463408811223 0.00207274537665342 1
"ENSG00000001461" "NIPAL3" 1 24415802 24475252 1 1 1
"ENSG00000001561" "ENPP4" 6 46129989 46146688 0.784511939933936 1 1
"ENSG00000001617" "SEMA3F" 3 50155045 50189075 0.844414265973261 1 1
"ENSG00000001626" "CFTR" 7 117287120 117715971 0.0152714250308244 0.0945996840056843 1
"ENSG00000001629" "ANKIB1" 7 92245974 92401383 1 1 1
"ENSG00000001630" "CYP51A1" 7 92084987 92134803 1 1 1
"ENSG00000001631" "KRIT1" 7 92197498 92246166 1 1 1
"ENSG00000002016" "RAD52" 12 911736 990053 1 1 1
"ENSG00000002330" "BAD" 11 64269830 64284704 1 1 1
"ENSG00000002549" "LAP3" 4 17577198 17607972 1 1 1
"ENSG00000002587" "HS3ST1" 4 11393150 11429564 0.00211739574570629 0.017496177955442 1
"ENSG00000002726" "AOC1" 7 150824627 150861504 1.31151205049107e-10 7.39280720183155e-09 2.44701918380624e-06
"ENSG00000002745" "WNT16" 7 121325367 121341104 0.010463546959349 0.0687910004113928 1
"ENSG00000002746" "HECW1" 7 43112629 43566001 2.09336299856351e-05 0.00030183900175578 0.390579668271979
"ENSG00000002822" "MAD1L1" 7 1815793 2233243 1 1 1
"ENSG00000002834" "LASP1" 17 38869859 38921770 1 1 1
"ENSG00000002919" "SNX11" 17 48103357 48123601 1 1 1
"ENSG00000002933" "TMEM176A" 7 150800403 150805118 6.83124969314323e-06 0.000111511335760863 0.127457456774666
"ENSG00000003056" "M6PR" 12 8940361 8949761 1 1 1
"ENSG00000003137" "CYP26B1" 2 72129238 72147862 0.52001675589315 1 1
"ENSG00000003147" "ICA1" 7 8113184 8262687 0.125440036970849 0.543913597444132 1
"ENSG00000003249" "DBNDD1" 16 90004871 90019890 0.0859670804404747 0.399993463056952 1
"ENSG00000003393" "ALS2" 2 201700267 201782112 1 1 1
"ENSG00000003400" "CASP10" 2 201182872 201229428 1 1 1
"ENSG00000003402" "CFLAR" 2 201116154 201176687 1 1 1
"ENSG00000003436" "TFPI" 2 187464230 187565760 0.976927585624309 1 1
"ENSG00000003509" "NDUFAF7" 2 37231631 37253403 1 1 1
"ENSG00000003756" "RBM5" 3 50088919 50119021 1 1 1
"ENSG00000003987" "MTMR7" 8 17296794 17413528 1 1 1
"ENSG00000003989" "SLC7A2" 8 17497088 17570573 4.03195960216514e-05 0.000536578475443632 0.752283022571972
"ENSG00000004059" "ARF5" 7 127588386 127591700 1 1 1
"ENSG00000004139" "SARM1" 17 28364356 28404049 1 1 1
"ENSG00000004142" "POLDIP2" 17 28346633 28357527 1 1 1
"ENSG00000004399" "PLXND1" 3 129555214 129606676 0.168514943026445 0.692849670997667 1
"ENSG00000004455" "AK2" 1 33007986 33080996 1 1 1
"ENSG00000004468" "CD38" 4 15778275 15853232 1 1 1
"ENSG00000004478" "FKBP4" 12 2794970 2805423 1 1 1
"ENSG00000004487" "KDM1A" 1 23019443 23083689 1 1 1
"ENSG00000004534" "RBM6" 3 49940007 50100045 1 1 1
"ENSG00000004660" "CAMKK1" 17 3860315 3894891 2.900166593628e-09 1.1712404394786e-07 5.41113083039112e-05
"ENSG00000004700" "RECQL" 12 21468910 21501669 1 1 1
"ENSG00000004766" "VPS50" 7 93232340 93361123 1 1 1
"ENSG00000004776" "HSPB6" 19 35754566 35758079 0.106796126366229 0.478587501751375 1
"ENSG00000004777" "ARHGAP33" 19 35774532 35788822 1 1 1
"ENSG00000004779" "NDUFAB1" 16 23581014 23596316 1 1 1
"ENSG00000004799" "PDK4" 7 95583499 95596516 0.00306962561425094 0.0239636295860645 1
"ENSG00000004809" "SLC22A16" 6 110424687 110476641 0.173544463876129 0.708687372948307 1
"ENSG00000004838" "ZMYND10" 3 50341110 50345732 0.000381411230450556 0.00391009381194861 1
"ENSG00000004846" "ABCB5" 7 20615667 20777038 1 1 1
"ENSG00000004864" "SLC25A13" 7 96120220 96322147 1 1 1
"ENSG00000004866" "ST7" 7 116953238 117230176 1 1 1
"ENSG00000004897" "CDC27" 17 47117703 47189422 1 1 1
"ENSG00000004939" "SLC4A1" 17 44248390 44268141 0.120549220650427 0.526635511907652 1
"ENSG00000004948" "CALCR" 7 93424486 93574730 0.578199251006417 1 1
"ENSG00000004975" "DVL2" 17 7225342 7234517 1 1 1
"ENSG00000005001" "PRSS22" 16 2852730 2858170 1 1 1
"ENSG00000005007" "UPF1" 19 18831959 18868230 1 1 1
"ENSG00000005020" "SKAP2" 7 26667068 26995239 0.00206021933492261 0.0171223039425327 1
"ENSG00000005059" "MCUB" 4 109560209 109688719 1 1 1
"ENSG00000005073" "HOXA11" 7 27181157 27185232 1 1 1
